"id","site","job_board_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","job_url"
"in-9e2d1f78f8cdd197","indeed","https://www.indeed.com/viewjob?jk=9e2d1f78f8cdd197","https://jobs.dayforcehcm.com/en-US/hosparus/CANDIDATEPORTAL/jobs/8622","Visit Nurse (RN) - Part Time Weekends","Hosparus Health","Louisville, KY, US","2026-03-10","parttime","direct_data","yearly",40000.0,49000.0,"USD",False,"","","","","Hosparus Health starts with a compassionate team, committed to our mission of creating more moments for our patients facing advanced illness or end of life care. Our premier model of care supports patients and their families with a holistic, team\\-based approach, wherever the patient chooses to call home. Hosparus Health empowers its people to provide the care our patients want to receive, with a level of service we describe as “above and beyond.” Don’t just find a job. Join our team and help us create more moments for our patients and enrich our communities with compassionate care.
  
  

Weekend Visit Nurse (RN)
  
Saturday and Sunday 9a\\-930p
  
  

**Visit RN Position Summary:**  

The Visit Registered Nurse is responsible to assess and identify patient/family needs, and to plan, implement, evaluate and document the individualized hospice nursing care provided to a patient in accordance with the interdisciplinary plan of care and the policies and expectations of the Clinical Services Department. The Visit Nurse is responsible for care coordination and collaboration among the Interdisciplinary Group and other medical providers, and supervises the hospice care provided by Licensed Practical Nurses and Certified Nursing Assistants. Assigned patients may be in a home, skilled nursing facility, assisted living facility, or acute care setting. The Visit Registered Nurse may make visits to home patients specific to team nurse coverage needs, unplanned visits, visits to follow up on new admissions as needed, conduct admission visit for medically eligible patients into Hosparus Health care, or conduct facility to home admissions as needed. The Visit Registered Nurse demonstrates excellence in nursing practice for assignments and is supportive of the organization’s needs in providing nursing care and services to all Hosparus Health patients.
  
  

**Position Qualifications:**  

* RN with current RN licensure in the state of Kentucky and/or Indiana as required by designated position, or the ability to obtain required license/s upon offer of position.
* BSN desired.
* Certification in hospice/palliative care preferred.
* One year of nursing experience preferred.
* Knowledge of palliative care helpful.
* Must have a valid driver’s license.
* Use of technology\\-based tools, including electronic medical record, strongly preferred.


The compensation range listed is a good faith estimate of the range the organization expects to pay for this position. Final compensation will be determined based on the selected candidate’s qualifications, experience, skills, internal equity, and other job\\-related factors consistent with applicable law
  
  

Hosparus Health provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.","","https://www.indeed.com/cmp/Hosparus-Health","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/751b87d746e15a2d42e1ba40db022fd8","https://hosparushealth.org/","Louisville, KY","501 to 1,000","Decline to state","Hosparus Health is a fully accredited provider of premier hospice services and one of the largest nonprofit organizations in the country.","","","","","","",""
"in-4aa072dd0f03aef2","indeed","https://www.indeed.com/viewjob?jk=4aa072dd0f03aef2","https://healthcare-diversicare.icims.com/jobs/65930/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Director of Nursing Services (RN)","Diversicare Healthcare Services","Birmingham, AL, US","2026-03-10","fulltime","","","","","",False,"","","","","Overview:
**Lead with Excellence as the Director of Nursing\\- RN at Diversicare!** **DIVERSICARE OF OXFORD**  

**1130 S. Hale Street**  

 **Oxford, AL 36203\\-2444**  

Are you ready to take the helm of the nursing department and make a profound impact on the lives of patients and residents? Diversicare is seeking a passionate Director of Nursing to join our exceptional team, driving excellence in care and leadership. **Why Choose Diversicare:*** **Leadership Opportunity:** As our Director of Nursing (RN), you'll shape the quality of care and life for our residents, driving the nursing department forward while contributing to our facility's overarching mission.
* **Values\\-Driven Culture:** At Diversicare, we embody trust, respect, customer focus, compassion, diplomacy, appreciation, and strong communication. As Director of Nursing (RN), you'll champion these values, fostering a workplace culture of excellence.
* **Comprehensive Benefits:** Enjoy a competitive benefits package, including competitive salary, medical/dental/vision coverage, a robust 401k plan, tuition reimbursement, vacation and sick time, long and short\\-term disability benefits, and more.


\\#ND123
Responsibilities:
* **Administrative Leadership:** Assume responsibility in the absence of the Administrator, implementing policies and procedures to ensure compliance and collaborating with key stakeholders to maintain best practices.
* **Budget Management:** Assist in preparing and administering the department budget, ensuring efficient resource allocation.
* **Team Development:** Recruit, coach, and evaluate nursing staff, fostering a culture of continuous improvement and professional growth.
* **Quality Improvement:** Analyze and evaluate nursing services to enhance resident care, developing systems that promote resident well\\-being and functional independence.


Qualifications:
* **RN License:** Hold a current Registered Nurse license issued by the State Board of Nursing, with demonstrated managerial and administrative prowess.
* **Experience:** Preferably possess experience in long\\-term care or working with geriatric populations, with at least two years of supervisory experience.
* **Organizational Skills:** Proficient in organizing and planning programs, assigning personnel, and evaluating reports and data to drive quality improvement initiatives.


Diversicare is committed to being an equal opportunity employer. Diversicare does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex (including gender identity), national origin, age, or disability, sexual orientation, citizenship, marital status, veteran status, genetic information, or any other characteristic protected by law.
(EOE)","Health Care","https://www.indeed.com/cmp/Diversicare-Healthcare-Services-2","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ae413732aff918258d8df3843e7f84a3","http://dvcr.com/","1621 Galleria Blvd, Brentwood, TN 37027","5,001 to 10,000","$100M to $500M (USD)","Making a career out of making a difference. Diversicare is looking for professionals who want to make a difference in the lives of others while working in a rewarding environment.","","","","","","",""
"in-3277be7d11f4525e","indeed","https://www.indeed.com/viewjob?jk=3277be7d11f4525e","https://careers-uewhealth.icims.com/jobs/3691/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Registered Nurse in Los Alamos, NM!","United Energy Workers Healthcare","Las Cruces, NM, US","2026-03-10","","","hourly","","","USD",False,"","","","","Overview:
**United Energy Workers Healthcare: Where Compassion Meets Care!**

  

We are a compassionate company driven by a personal commitment to exceptional care. Founded by the grandchildren of a former Department of Energy worker, **we elevate the lives of energy workers with unwavering compassion and whole\\-person care.**


We're searching for dedicated and empathetic **Registered Nurses** to join our team as **1099 Independent Contractors**, bringing comfort and exceptional care directly to the homes of those who need it most. If you're driven by a desire to make a tangible difference in people's lives and thrive in a flexible, independent environment, **we invite you to connect with us.**

  

This is more than just a nursing role; it's an opportunity to be a beacon of support and healing in your community. As an In\\-Home Health Care RN, you'll have the unique privilege of building meaningful relationships with your patients, providing holistic care that extends beyond medical needs to truly touch their lives.


Responsibilities:
**Responsibilities*** Provide in\\-home nursing care and administer prescribed treatments.
* Monitor patient conditions and report changes.
* Educate patients and their families about health and wellness.


Qualifications:
**What We're Looking For*** RN *or LPN* license and graduation from an accredited nursing program.
* Valid driver’s license and ability to travel to clients’ homes.
* Experience in home health or hospice settings *preferred.*
* Must pass a criminal background check and have current CPR certification.

**Apply Today**  

If you’re dedicated to providing personalized care and seeking a flexible role, we’d love to hear from you. Join us as a 1099 Independent Contractor and make a meaningful difference!
Pay Range: USD $45\\.00 \\- USD $45\\.00 /Hr.","","https://www.indeed.com/cmp/United-Energy-Workers-Healthcare","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1838b9d23ad2e6e9c6f526e91adcbcba","http://www.uewhealth.com","Riverton, WY","201 to 500","Decline to state","United Energy Workers Healthcare provides superior home health services at no cost to EEOICPA/RECA beneficiaries.","","","","","","",""
"in-342c85ded8ca6f64","indeed","https://www.indeed.com/viewjob?jk=342c85ded8ca6f64","https://careers-fourcorners.icims.com/jobs/3692/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Registered Nurse in Espanola, NM","Four Corners Healthcare","Espanola, NM, US","2026-03-10","","","hourly","","","USD",False,"","","","","Overview:
**United Energy Workers Healthcare: Where Compassion Meets Care!**

  

We are a compassionate company driven by a personal commitment to exceptional care. Founded by the grandchildren of a former Department of Energy worker, **we elevate the lives of energy workers with unwavering compassion and whole\\-person care.**


We're searching for dedicated and empathetic **Registered Nurses** to join our team as **1099 Independent Contractors**, bringing comfort and exceptional care directly to the homes of those who need it most. If you're driven by a desire to make a tangible difference in people's lives and thrive in a flexible, independent environment, **we invite you to connect with us.**

  

This is more than just a nursing role; it's an opportunity to be a beacon of support and healing in your community. As an In\\-Home Health Care RN, you'll have the unique privilege of building meaningful relationships with your patients, providing holistic care that extends beyond medical needs to truly touch their lives.


Responsibilities:
**Responsibilities*** Provide in\\-home nursing care and administer prescribed treatments.
* Monitor patient conditions and report changes.
* Educate patients and their families about health and wellness.

 **Flexible Schedule! 4 hours/week!**
Qualifications:
**What We're Looking For*** RN *or LPN* license and graduation from an accredited nursing program.
* Valid driver’s license and ability to travel to clients’ homes.
* Experience in home health or hospice settings *preferred.*
* Must pass a criminal background check and have current CPR certification.

**Apply Today**  

If you’re dedicated to providing personalized care and seeking a flexible role, we’d love to hear from you. Join us as a 1099 Independent Contractor and make a meaningful difference!
Pay Range: USD $45\\.00 \\- USD $45\\.00 /Hr.","","https://www.indeed.com/cmp/Four-Corners-Healthcare","","","","","","","","","","","","",""
"in-dd8ce662f391f759","indeed","https://www.indeed.com/viewjob?jk=dd8ce662f391f759","https://jobs.dayforcehcm.com/en-US/cwu/StratfordSpecialtyCare/jobs/72167","Registered Nurse (RN) Mobile & Flexible","Care Initiatives","Stratford, IA, US","2026-03-10","parttime, fulltime","","","","","",False,"","","","","Stratford Specialty Care, a 53\\-bed long\\-term care skilled nursing community located in Stratford, IA, is now hiring!
  
  

If you are a Registered Nurse (RN) looking for a customizable schedule that best fits your personal life, this is a great opportunity for you! Prefer a full\\-time schedule? No problem! Need part time hours? We’ve got those too! As an RN with AffiniCare, you will be able to pick what hours you prefer to work and travel to multiple Care Initiatives locations within an area to assist with their open shifts.
  
  

Exceptional people. Exceptional care. We provide licensed staff to Care Initiatives’ 43 skilled nursing communities. Our team of competent and compassionate Registered Nurses (RNs) enjoy working in various settings while maintaining a flexible schedule.
  
  

Registered Nurse (RN) openings are now available with AffiniCare!
  
  

**What You’ll Do \\& Key Responsibilities:**  

* Provide direct, compassionate nursing care to residents in a skilled nursing environment.
* Support daily clinical operations on the unit, ensuring quality care and resident safety.
* Administer medications and treatments accurately and on time.
* Monitor resident conditions and respond promptly to changes in status.
* Collaborate with CNA, LPN, provider, and other interdisciplinary team members to promote teamwork and high\\-quality care.
* Communicate effectively with residents and families regarding care needs.
* Document care accurately to meet clinical, regulatory, and facility standards.
* Follow infection control, safety, and compliance protocols at all times.


**What it takes:**  

* Active Iowa RN license.
* Active CPR certification.
* Twelve (12\\) months of verifiable experience working as an RN.
* The ability to travel between multiple Care Initiatives communities within your region.
* Must live in a reasonable driving distance from Care Initiatives communities.


Why do RNs join AffiniCare? We’ve got many reasons, but here are a few:
  
* Pay – RNs earn an extremely competitive wage.
* Benefits – eligible employees can choose to participate in a 403(b) retirement savings plan, doctors on demand, EAP and more.
* Flexible scheduling – Choose the facility and shifts that work best for you, with a minimum requirement of 16 hours per month.
* Digital wallet – you can access your pay as you earn it, instead of waiting for your paycheck!


Apply today and become part of a team where your compassion, dedication, and care truly matter. At Care Initiatives, we’re committed to helping you grow your career while improving the lives of those we serve.
  
  

Committed to attracting and retaining a diverse staff, Care Initiatives will honor your experiences, perspectives, and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable, and welcoming.
  
  

Care Initiatives is an Affirmative Action and Equal Opportunity Employer. Care Initiatives complies with applicable federal civil rights laws and does not discriminate based on race, color, religion, national origin, age, disability, sex, sexual orientation, gender identity, gender expression, marital status, parental status, genetic information, protected veteran status, or any other characteristic protected by law.","","https://www.indeed.com/cmp/Care-Initiatives","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8572bec52fec2c0366ae618a68b74dea","http://www.careinitiatives.org","","1,001 to 5,000","Decline to state","Care Initiatives is the largest non-profit long term care organization in Iowa. We have 43 long term care communities, 7 hospice locations (and growing!), and our own internal staffing agency.","","","","","","",""
"in-4a8aa9887c564151","indeed","https://www.indeed.com/viewjob?jk=4a8aa9887c564151","https://jobs.dayforcehcm.com/en-US/cwu/DubuqueSpecialtyCare/jobs/72156","Licensed Practical Nurse (LPN) Full-Time","Care Initiatives","Dubuque, IA, US","2026-03-10","fulltime","","","","","",False,"","","","","Dubuque Specialty Care, a 84\\-bed long\\-term care skilled nursing community located in Dubuque, IA, is now hiring!
  
  

Licensed Practical Nurse (LPN)
  
**Schedule/Shifts Available:** Full\\-time Days \\& Evenings
  
  

Are you a compassionate Licensed Practical Nurse (LPN) looking to make a meaningful difference in the lives of individuals during their healthcare journey? If so, join Care Initiatives as a Charge Nurse \\- Licensed Practical Nurse (LPN), where you will provide comprehensive care that truly matters. With over forty (40\\) skilled nursing communities across Iowa, we are committed to providing exceptional care and support at every stage of the healthcare journey.
  
  

As a Charge Nurse \\- Licensed Practical Nurse (LPN) on our team, you will have the opportunity to apply your skills and demonstrate your compassion, positively influencing the lives of our residents. Together, we can make a difference in the lives of our residents and their loved ones.
  
  

**What You’ll Do \\& Key Responsibilities:**  

* Conduct ongoing assessments of residents’ clinical status, including vital signs and condition changes, and contribute to individualized care planning in collaboration with the interdisciplinary team.
* Deliver and oversee direct nursing care, including wound treatments, IV therapy (as permitted by scope), catheter care, and other skilled interventions in accordance with physician orders and facility protocols.
* Administer medications and prescribed treatments safely and accurately, monitoring for therapeutic response and adverse effects, and ensuring timely, compliant documentation.
* Serve as a clinical leader on the unit by coordinating resident care, communicating effectively with physicians, nurse leadership, residents, and families regarding care needs and changes in condition.
* Supervise, mentor, and support Certified Nursing Assistants and other assigned staff, promoting accountability, teamwork, and high\\-quality resident care.
* Ensure adherence to state and federal regulations, infection prevention practices, and Care Initiatives policies to maintain a safe, compliant, and resident\\-centered environment.
* Provide education, guidance, and emotional support to residents and families, fostering trust, dignity, and understanding of care plans and health goals.


**What it takes to become an LPN with Care Initiatives:**  

* Valid Licensed Practical Nurse (LPN) license in good standing. License must be valid within the state of Iowa, or ability to activate.
* Current, valid CPR Certification.
* Documented completion of State\\-approved LPN Supervisory Course or ability to obtain within first 90\\-days of employment.
* Knowledge of federal and state long\\-term care regulations and laws.
* A strong commitment to helping others and consistently treating them with empathy, respect, patience, and discretion.


Why Join Care Initiatives?
  
  

* Competitive Compensation: Earn a highly competitive wage.
* Comprehensive Benefits: Eligible employees enjoy robust benefit options including medical, dental, vision, 401(k), PTO, and more.
* Referral Bonus Program: Earn cash rewards for referring your friends.
* Tuition Reimbursement: Develop your skills with company paid training and education to take your career to the next level.
* Digital Wallet Access: Get paid as you earn—no more waiting for payday!


Start Your Journey with Us
  
  

Apply today and become part of a team where your compassion, dedication, and care truly matter. At Care Initiatives, we’re committed to helping you grow your career while improving the lives of those we serve.
  
  

Committed to attracting and retaining a diverse staff, Care Initiatives will honor your experiences, perspectives, and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable, and welcoming.
  
  

Care Initiatives is an Affirmative Action and Equal Opportunity Employer. Care Initiatives complies with applicable federal civil rights laws and does not discriminate based on race, color, religion, national origin, age, disability, sex, sexual orientation, gender identity, gender expression, marital status, parental status, genetic information, protected veteran status, or any other characteristic protected by law.","","https://www.indeed.com/cmp/Care-Initiatives","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8572bec52fec2c0366ae618a68b74dea","http://www.careinitiatives.org","","1,001 to 5,000","Decline to state","Care Initiatives is the largest non-profit long term care organization in Iowa. We have 43 long term care communities, 7 hospice locations (and growing!), and our own internal staffing agency.","","","","","","",""
"in-5abf96a86e3ec616","indeed","https://www.indeed.com/viewjob?jk=5abf96a86e3ec616","https://jobs.dayforcehcm.com/en-US/cwu/FondaSpecialtyCare/jobs/72164","Registered Nurse (RN) 6PM-6AM","Care Initiatives","Fonda, IA, US","2026-03-10","fulltime","","","","","",False,"","","","","Fonda Specialty Care, a 46\\-bed long\\-term care skilled nursing community located in Fonda, IA, is now hiring!
  
  

Registered Nurse (RN)
  
**Shifts Available:** Full\\-Time \\& Part\\-Time, Overnight
  
Competitive Hourly Rate \\+ Shift Differentials
  
  

Make a Difference Every Day – Join Care Initiatives as a Registered Nurse!
  
  

Join our compassionate care team across more than 40 skilled nursing communities throughout Iowa. If you're a dedicated and empathetic caregiver looking to make a meaningful impact on the lives of others during their healthcare journey, this is your opportunity to shine.
  
  

**What You’ll Do \\& Key Responsibilities:**  

* Provide direct, compassionate nursing care to residents in a skilled nursing environment.
* Support daily clinical operations on the unit, ensuring quality care and resident safety.
* Administer medications and treatments accurately and on time.
* Monitor resident conditions and respond promptly to changes in status.
* Collaborate with CNA, LPN, provider, and other interdisciplinary team members to promote teamwork and high\\-quality care.
* Communicate effectively with residents and families regarding care needs.
* Document care accurately to meet clinical, regulatory, and facility standards.
* Follow infection control, safety, and compliance protocols at all times.


**Qualifications:**  

* Valid RN license in good standing. License must be valid within the state of Iowa, or ability to activate.
* Current, valid CPR Certification.
* Knowledge of federal and state long\\-term care regulations and laws.
* A strong commitment to helping others and consistently treating them with empathy, respect, patience, and discretion.


Why Join Care Initiatives?
  
  

* Competitive Compensation: Earn a highly competitive wage \\+ shift differentials.
* Comprehensive Benefits: Eligible employees enjoy robust benefit options including medical, dental, vision, 401(k), PTO, and more.
* Referral Bonus Program: Earn cash rewards for referring your friends.
* Tuition Reimbursement: Develop your skills with company paid training and education to take your career to the next level.
* Digital Wallet Access: Get paid as you earn—no more waiting for payday!


Start Your Journey with Us
  
  

Apply today and become part of a team where your compassion, dedication, and care truly matter. At Care Initiatives, we’re committed to helping you grow your career while improving the lives of those we serve.
  
  

Committed to attracting and retaining a diverse staff, Care Initiatives will honor your experiences, perspectives, and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable, and welcoming.
  
  

Care Initiatives is an Affirmative Action and Equal Opportunity Employer. Care Initiatives complies with applicable federal civil rights laws and does not discriminate based on race, color, religion, national origin, age, disability, sex, sexual orientation, gender identity, gender expression, marital status, parental status, genetic information, protected veteran status, or any other characteristic protected by law.","","https://www.indeed.com/cmp/Care-Initiatives","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8572bec52fec2c0366ae618a68b74dea","http://www.careinitiatives.org","","1,001 to 5,000","Decline to state","Care Initiatives is the largest non-profit long term care organization in Iowa. We have 43 long term care communities, 7 hospice locations (and growing!), and our own internal staffing agency.","","","","","","",""
"in-1863225349633e97","indeed","https://www.indeed.com/viewjob?jk=1863225349633e97","https://www.genesiscareers.jobs/genesishcc/jobs/43394/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Director of Nursing, DON","Genesis Healthcare","Moses Lake, WA, US","2026-03-10","fulltime","direct_data","yearly",150000.0,160000.0,"USD",False,"","","","","Overview:
At Genesis Healthcare, we are dedicated to improving the lives we touch through the delivery of high\\-quality care and exceptional service. As a leading provider in the long\\-term care industry, we believe in fostering a collaborative, inclusive and supportive work environment where every team member is valued and empowered to make a difference. Whether you're an experienced professional or just starting your career, we offer opportunities for growth, development, and advancement in a range of roles. Join us in our mission to enhance the well\\-being of our patients and residents while making a meaningful impact in the communities we serve.
Responsibilities:
We are seeking a Director of Nursing who has a passion for working with the senior population along with a relentless drive to deliver high quality health care. You will combine your nursing and administrative skills to meet the challenge of leading nursing operations while guiding and directing the nursing team.  

  

* Drive business excellence, staff excellence, clinical excellence, and patient/customer experience excellence.
* Provide service and servant leadership, direction, and administration of day\\-to\\-day patient care operations.
* Promote an environment focused on top of license practice and collaboration.
* Communicate a shared vision for clinical excellence; ensure the realization of high\\-quality and cost\\-effective healthcare.
* Foster continuous improvement of nursing services and staff to meet patients/residents and their families' needs and expectations.

Qualifications:
* Must be a graduate of an accredited school of nursing, college or university with a current Registered Nurse license by the State Board of Nursing; BSN preferred.
* At least 1 year of nurse leadership experience in long\\-term care is required.
* At least 2 years of prior clinical experience is required.
* Must have knowledge of the MDS process, state nurse practice act, and state/federal regulations.
* On\\-call availability is required.


Benefits:
* Variable compensation plans
* Tuition, Travel, and Wireless Service Discounts
* Employee Assistance Program to support mental health
* Employee Foundation to financially assist through unforeseen hardships
* Health, Dental, Vision, Company\\-paid life insurance, 401K, Paid Time Off
* Free 24/7 virtual health care provided by licensed doctors for all Anthem medically\\-enrolled employees and their immediate family members
* On\\-Demand Pay Program that allows for instant access to a portion of the money you’ve already earned

  

We also offer several voluntary insurances such as:  

* Pet Insurance
* Term and Whole Life Insurance
* Short\\-term Disability
* Hospital Indemnity
* Personal Accident
* Critical Illness
* Cancer Coverage
  

Restrictions apply based on collective bargaining agreements, applicable state law and factors such as pay classification, job grade, location, and length of service.  


Posted Salary Range: USD $150,000\\.00 \\- USD $160,000\\.00 /Yr.","Health Care","https://www.indeed.com/cmp/Genesis-Healthcare-6","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/26754bcd7f4553315c065858e0744ed5","http://www.genesishcc.com/","101 E. State St., Kennett Square, PA","10,000+","","Our mission is to improve the lives we touch through the delivery of high quality healthcare and everyday compassion.","","","","","","",""
"in-6f1c14da738f3828","indeed","https://www.indeed.com/viewjob?jk=6f1c14da738f3828","https://jobs.wakemed.org/jobs/29888/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Registered Nurse (RN) 2C Rehab","WakeMed Health & Hospitals","Raleigh, NC, US","2026-03-10","","","","","","",False,"","","","","**Overview:** The Clinical Nurse is responsible for providing total comprehensive nursing to patients and their families through the implementation of a plan of care. The plan is based upon the patient's developmental and health care needs identified through the assessment of the patient's physical, psychological, socioeconomic status, and physician orders regarding care, treatment, and education. The Clinical Nurse understands the needs of the organization and supports the mission, values, and management of patient care services. The Clinical Nurse actively supports and incorporates ANA Scope and Standards of Nursing Practice, North Carolina Board of Nursing Practice Act, WakeMed's Division of Nursing Professional Practice model, and WakeMed's Patient \\& Family Centered Care (PFCC) model. The four key concepts of PFCC are: Dignity and Respect \\= Listen to and honor patient and family perspectives and choices; Information Sharing \\= Communicate and share complete and unbiased information with patients and families in ways that are affirming and useful; Participation \\= Patients and families are encouraged and supported in participating in care and decision\\-making at the level they choose; Collaboration \\= Patients and families and the Clinical Nurse collaborate in the delivery of care. Department Description:
  
  

Serving the community since 1961, WakeMed Health \\& Hospitals is the leading provider of health services in Wake County. With a mission to improve the health and well\\-being of our community, we are committed to providing outstanding and compassionate care. For more information, visit www.wakemed.org.
  
  

EOE
  
  

**Licensure:** Registered Nurse Required Education: Diploma Nursing Required \\- Or Associate's Degree Nursing Required Experience: No Experience Required","","https://www.indeed.com/cmp/Wakemed-Health-&-Hospitals-66d864ee","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/81f75a8f85539918dbe60344e6f88a55","https://www.wakemed.org/","Raleigh, NC","10,000+","Decline to state","WakeMed Health & Hospitals is a private, not-for-profit health system based in Raleigh, NC. Join us today!","","","","","","",""
"in-da2bfde1e363ac05","indeed","https://www.indeed.com/viewjob?jk=da2bfde1e363ac05","https://jobs.wakemed.org/jobs/29987/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Registered Nurse (RN) Heart Center Pre Post","WakeMed Health & Hospitals","Raleigh, NC, US","2026-03-10","fulltime","","","","","",False,"","","","","**Overview:** The Clinical Nurse in the Heart Center Pre/Post Procedure Care Unit is responsible for providing total comprehensive nursing to patients and their families through the implementation of a plan of care. The plan is based upon the patient's developmental and health care needs identified through the assessment of the patient's physical, psychological, socioeconomic status, and physician orders regarding care, treatment, and education. The Clinical Nurse understands the needs of the organization and supports the mission, values, and management of patient care services. The Clinical Nurse actively supports and incorporates ANA Scope and Standards of Nursing Practice, North Carolina Board of Nursing Practice Act, WakeMed's Division of Nursing Professional Practice model, and WakeMed's Patient \\& Family Centered Care (PFCC) model. The four key concepts of PFCC are: Dignity and Respect \\= Listen to and honor patient and family perspectives and choices; Information Sharing \\= Communicate and share complete and unbiased information with patients and families in ways that are affirming and useful; Participation \\= Patients and families are encouraged and supported in participating in care and decision\\-making at the level they choose; Collaboration \\= Patients and families and the Clinical Nurse collaborate in the delivery of care. The Heart Center Pre/Post Procedure Care Area is a 42 bed unit specializing in the care of patients who are undergoing invasive cardiovascular procedures and treatments. Patients within the Heart Center Pre/Post Procedure Care Unit typically present as outpatients and are discharged within 24 hours of their procedure. Department Description:
  
  

Serving the community since 1961, WakeMed Health \\& Hospitals is the leading provider of health services in Wake County. With a mission to improve the health and well\\-being of our community, we are committed to providing outstanding and compassionate care. For more information, visit www.wakemed.org.
  
  

EOE
  
  

**Licensure:** Registered Nurse Required Education: Diploma Nursing Required \\- Or Associate's Degree Nursing Required Experience: No Experience Required","","https://www.indeed.com/cmp/Wakemed-Health-&-Hospitals-66d864ee","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/81f75a8f85539918dbe60344e6f88a55","https://www.wakemed.org/","Raleigh, NC","10,000+","Decline to state","WakeMed Health & Hospitals is a private, not-for-profit health system based in Raleigh, NC. Join us today!","","","","","","",""
