"id","site","job_board_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","job_url"
"in-fad736124e53901d","indeed","https://www.indeed.com/viewjob?jk=fad736124e53901d","https://wd5.myworkdaysite.com/en-US/recruiting/easyservice/RoperStFrancisHealthcare/job/Summerville-SC/Registered-Nurse--RN----Intensive-Care-Unit---Berkeley-Hospital_R260655-1","Registered Nurse (RN) - Intensive Care Unit - Berkeley Hospital","Roper St. Francis Healthcare","Summerville, SC, US","2025-12-28","fulltime","","","","","",False,"","","","recruitment@RSFH.com","**Thank you for considering a career at Roper St. Francis Healthcare!**

**Scheduled Weekly Hours:**

36
**Work Shift:**

Evenings/Nights (United States of America)
**Must have at least one year ICU experience**

**Shift/Schedule: 7:00pm \\- 7:30am, Evenings/Nights, 36 Hours Weekly**

**Position Starts: May 2026**

**Roper St. Francis Berkeley Hospital: Expanding to Serve More**

Our community is growing and so are we! Roper St. Francis Berkeley Hospital is doubling its bed capacity as part of a major expansion, set for completion in early 2026\\.


This growth will bring expanded services to emergency, cardiology, orthopedics, obstetrics, neurology, inpatient dialysis and additional specialties in our Medical Office Building.


We are proud to be a trusted place of hope, healing and support for our neighbors, families and friends. Ready to make a difference? Let’s build something together.


**Summary of Primary Function**  

Delivers patient care utilizing the nursing process through data collection and assessment, identifies and determines the priority of patient’s problems/needs, and evaluates the process and outcome of nursing care; coordinates, provides and directs patient teaching activities and coordinates the care provided by health team members.
  

  

**Essential Job Functions**  

In collaboration with the interdisciplinary care team, conducts initial and ongoing patient assessment, analyzes assessment data, creates a plan of care, implements treatment and evaluates treatment effectiveness; administers medications in a safe manner consistent with the State of Practice and organization policies and procedures; serves as point of contact for patients' care coordination throughout hospital departments. Acts as a patient safety advocate by participating in ongoing quality improvement in the department. Incorporates the professional practice model into care delivery
  

  

**Skills**  

* Knowledge of contemporary nursing practice and future innovations
* Nursing judgment and skill based on principles of the biological, physical, behavioral, and social sciences
* Application of the nursing process in patient care delivery
* Coordination of patient care delivery
* Evaluation of professional nursing practice to optimize goals and outcomes
* Health teaching and health promotion
* Patient advocacy and partnership
* Interprofessional collaboration and leadership
* Understanding and utilization of office and clinical technologies
* Compassionate, relationship\\-based approach to help find meaning in illness, suffering, pain, and existence
* Integration of quality improvement, evidence based practices and research in practice
* Accountability for professional actions
* Effective stewardship of available resources
* Conflict management and resilience
* Authority for delegating activities to others, while remaining responsible and accountable for outcomes
**Certifications**

BLS Basic Life Support, American Heart Association (required at hire for Roper St Francis Healthcare locations; preferred at hire, required prior to independent patient care at BSMH)  



  

Valid nursing license from the state of practice (required)


**Education**  

Associate of Nursing, nursing (required)
  

OR
  

Diploma in Nursing (required)
  

Bachelors of Science, nursing (preferred)  

  



Roper St. Francis Healthcare is an equal opportunity employer.


As a Roper St. Francis Healthcare teammate, you’re part of a Misson that matters. We support your well\\-being – personally and professionally. Our benefits are built to grow with you and meet your unique needs, every step of the way.


**What we offer**

* Competitive pay, incentives, referral bonuses and 403(b) with employer contributions (when eligible)
* Medical, dental, vision, prescription coverage, HAS/FSA options, life insurance, mental health resources and discounts
* Paid time off, parental and FMLA leave, and short\\- and long\\-term disability
* Tuition assistance, professional development and continuing education support

*Benefits may vary based on the market and employment status.*

**Department:**

SS Human Resources \\- Talent Acquisition
*It is our policy to abide by all Federal and State laws, as well as, the requirements of 41 CFR 60\\-1\\.4(a), 60\\-300\\.5(a) and 60\\-741\\.5(a). Accordingly, all applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, age, genetic information, or protected veteran status, and will not be discriminated against on the basis of disability. If you are an individual with a disability and would like to request a reasonable accommodation as part of the employment selection process, please contact The Talent Acquisition Team at* *recruitment@RSFH.com* *.*","Health Care","https://www.indeed.com/cmp/Roper-St.-Francis-Healthcare","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/11d3f4f1430496d5e664738cb9d62271","http://www.rsfh.com/","Roper Hospital
316 Calhoun Street
Charleston, SC 29401 

Bon Secours St. Francis Hospital
2095 Henry Tecklenburg Dr.
Charleston, SC 29414 

Mount Pleasant Hospital
3500 Highway 17 North 
Mount Pleasant, SC 29466","1,001 to 5,000","","We are Charleston’s only private, not-for-profit hospital system with a specific focus on community outreach.","","","","","","",""
"in-dcbba9981c64da7a","indeed","https://www.indeed.com/viewjob?jk=dcbba9981c64da7a","https://lifecarecareers.hcshiring.com/jobs/S2pQluZQ70-FsUjIlpLzbw?ref=Indeed&title=MDS%20Coordinator%20%28Registered%20Nurse%2FRN%29","MDS Coordinator (Registered Nurse/RN)","Life Care Center of Medina","Medina, OH, US","2025-12-28","fulltime","","","","","",False,"","","","","**Live the Mission:**  

**Position Summary:**  

The RN MDS Coordinator coordinates and assists with completion and submission of accurate and timely interdisciplinary MDS Assessments, CAAs, and Care Plans according to CMS RAI Manual Regulations and in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Associate’s or bachelor’s degree in nursing from an accredited college or university
* Currently licensed/registered in applicable State. Must maintain an active Registered Nurse (RN) license in good standing throughout employment.
* Two (2\\) years’ nursing experience. Geriatric nursing experience preferred.
* CRN C Certification (clinical compliance)
* CPR certification upon hire or obtain during orientation. CPR certification must remain current during employment.


**Specific Job Requirements:**  

* Advanced knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care’s Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Coordinate and assist with completion and submission of interdisciplinary, accurate, and timely MDS Assessments, CCAs, and Care Plans according to CMS RAI Manual Regulations
* Report any changes in a patient’s condition identified by the MDS Assessment to the DON
* Provide education to direct care associates regarding updates or changes to the CMS RAI Manual or Skilled Nursing Facility Regulations that impact documentation
* Assist with review of the Interdisciplinary Comprehensive Care Plan
* Review Final Validation Reports and attest that all assessments have been completed and accepted into the CMS QIES system prior to billing and notify the Business Office when assessments are not ready to bill
* Review CMS Reports to identify assessments completed or submitted late and develop systems and processes to prevent reoccurrence
* Attend and participate in the Daily PPS Meeting, Monthly Triple Check, and other meetings upon request
* Perform functions of a staff nurse as required
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Life-Care-Center-of-Medina","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3cb68f6aec9c82ddfac0be776229754a","https://lcca.com/locations/oh/medina/","","Decline to state","Decline to state","Residents experience first-class service in everything that Life Care Center of Medina has to offer.","","","","","","",""
"in-fa0250ff2965e92a","indeed","https://www.indeed.com/viewjob?jk=fa0250ff2965e92a","https://lifecarecareers.hcshiring.com/jobs/NCwekGSB7U-fwzv-DZXgnA?ref=Indeed&title=MDS%20Nurse%20%28Licensed%20Practical%20Nurse%2FLPN%29","MDS Nurse (Licensed Practical Nurse/LPN)","Life Care Center of Medina","Medina, OH, US","2025-12-28","fulltime","","","","","",False,"","","","","**Live the Mission:**  

Full time position!
  
  

**Position Summary:**  

The LPN MDS Nurse is responsible to complete and submit accurate and timely MDS Assessments, CCAs, and Care Plans according to CMS RAI Manual Regulations and in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Attended an accredited LPN program
* Currently licensed/registered in applicable State. Must maintain an active Licensed Practical/Vocational Nurse (LPN/LVN) license in good standing throughout employment.
* Two (2\\) years’ nursing experience. Geriatric nursing experience preferred.
* CRN C Certification (clinical compliance)
* CPR certification upon hire or obtain during orientation. CPR certification must remain current during employment.


**Specific Job Requirements:**  

* Advanced knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care’s Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Complete and submit accurate and timely MDS Assessments, CCAs, and Care Plans according to CMS RAI Manual Regulations
* Report any changes in a patient’s condition identified by the MDS Assessment to the DON
* Provide education to direct care associates regarding updates or changes to the CMS RAI Manual or Skilled Nursing Facility Regulations that impact documentation
* Assist with review of the Interdisciplinary Comprehensive Care Plan
* Review Final Validation Reports and ensure all assessments have been accepted into the CMS QIES system prior to billing and notify the Business Office when assessments are not ready to bill
* Review CMS Reports to identify assessments completed or submitted late and develop systems and processes to prevent reoccurrence
* Attend and participate in the Daily PPS Meeting, Monthly Triple Check, and other meetings upon request in the absence of the RN MDS Coordinator
* Perform functions of a staff nurse as required
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Life-Care-Center-of-Medina","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3cb68f6aec9c82ddfac0be776229754a","https://lcca.com/locations/oh/medina/","","Decline to state","Decline to state","Residents experience first-class service in everything that Life Care Center of Medina has to offer.","","","","","","",""
"in-4d0a6f9b43329358","indeed","https://www.indeed.com/viewjob?jk=4d0a6f9b43329358","https://lifecarecareers.hcshiring.com/jobs/h79DKGHqKUGb12S8-sxyMw?ref=Indeed&title=Staff%20Development%20Coordinator%20%28Registered%20Nurse%2FRN%29","Staff Development Coordinator (Registered Nurse/RN)","Life Care Center of The Willows","Valparaiso, IN, US","2025-12-28","fulltime","","","","","",False,"","","","","**Position Summary:**  

The RN Staff Development Coordinator plans, organizes, develops, and directs all in service education in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Nursing diploma (associate’s or bachelor’s degree in nursing)
* Currently licensed/registered in applicable State. Must maintain an active Registered Nurse (RN) license in good standing throughout employment.
* One (1\\) year skilled nursing experience preferred
* Teaching/education experience preferred
* CPR certification upon hire or obtain during orientation. CPR certification must remain current during employment.


**Specific Job Requirements:**  

* Desire and ability to effectively train and educate all nursing associates and other associates as applicable
* Expert knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care’s Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Plan, develop, direct, conduct, evaluate, and coordinate staff training, education, in service, and orientation
* Maintain associate training and in service records
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Life-Care-Center-of-the-Willows","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/36d2d62cbcd2e93e9a4e264cfdc1f3e1","https://lcca.com/locations/in/the-willows/","Valparaiso, IN","Decline to state","Decline to state","Our nursing home offers a variety of specialized treatments, including Closed Pulse Irrigation wound care, VitalStim® therapy and orthopedic rehabilitation.","","","","","","",""
"in-71e7ba2c2bf80bab","indeed","https://www.indeed.com/viewjob?jk=71e7ba2c2bf80bab","https://lifecarecareers.hcshiring.com/jobs/vDzRSbUfY0-SZOtrypB6tw?ref=Indeed&title=Registered%20Nurse%20%28RN%29%20Supervisor%20%20-%20Weekend","Registered Nurse (RN) Supervisor - Weekend","Life Care Center Of Attleboro","Attleboro, MA, US","2025-12-28","parttime","direct_data","hourly",36.0,49.0,"USD",False,"","","","","**Live the Mission:**  

**Position Summary:**  

The RN Supervisor is responsible for the coordination of the patient’s care and services. Promotes quality care using a collaborative process that coordinates, monitors, and evaluates services according to the needs of patients. Works together with the patient and family in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Associate’s or bachelor’s degree in nursing from an accredited college or university
* Currently licensed/registered in applicable State. Must maintain an active Registered Nurse (RN) license in good standing throughout employment.
* Two (2\\) years’ nursing experience. Geriatric nursing experience preferred.Must have CPR certification upon hire or obtain during orientation. CPR certification must remain current during employment.
* CPR certification upon hire or obtain during orientation. CPR certification must remain current during employment.


**Specific Job Requirements:**  

* Expert knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care’s Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Provide, manage, and coordinate patient care and services through interpersonal contact, which allows patients to attain or maintain the highest practicable physical, mental, and psychosocial well being
* Assist patients daily to evaluate quality of patient care rendered
* Direct licensed staff and CNAs in prioritizing patient care needs/reporting requirements
* Assess patients’ needs and develop plans of care
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Life-Care-Center-of-Attleboro","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3cb68f6aec9c82ddfac0be776229754a","https://lcca.com/locations/ma/attleboro/","","Decline to state","Decline to state","We believe that as a privately owned company, Life Care Centers of America stands apart from others","","","","","","",""
"in-ab675302c5459dab","indeed","https://www.indeed.com/viewjob?jk=ab675302c5459dab","https://lifecarecareers.hcshiring.com/jobs/_2GntZonMUObmHONzxUG8g?ref=Indeed&title=Care%20Manager%20%28Registered%20Nurse%2FRN%29","Care Manager (Registered Nurse/RN)","Garden Terrace Alzheimer's Center of Excellence (Houston)","Houston, TX, US","2025-12-28","fulltime","","","","","",False,"","","","","**Position Summary:**  

The RN Care Manager is responsible for the coordination of the patient’s care and services. Promotes quality care using a collaborative process that coordinates, monitors, and evaluates services according to the needs of patients. Works together with the patient and family, care team, payers, and external entities to promote a safe transition from the facility to the next provider or care setting care team, payers, and external entities to promote a safe transition from the facility to the next provider or care setting in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Nursing diploma (associate’s or bachelor’s degree in nursing)
* Currently licensed/registered in applicable State. Must maintain an active Registered Nurse (RN) license in good standing throughout employment.
* One (1\\) year of clinical experience in post acute care setting preferred
* Prior case management, utilization review, and discharge planning experience preferred
* Certified Case Manager (CCM) or Board Certification in Nursing Case Management (RN BC) preferred


**Specific Job Requirements:**  

* Generate written communication that is clear, concise, and well organized
* Excellent organizational skills and be efficient in prioritizing and managing time and assignments
* Contribute to the organization’s goals and objectives and support the organizational strategic plans
* Expert knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care’s Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Demonstrate efficient use of relevant computer systems including but not limited to the ability to enter and retrieve data
* Serve as liaison to external case managers, family, physicians, and community resources
* Train and education patients, families, associates, and other providers of care
* Implement the standards of practice for care management, ethical performance, and functions relevant to coordination of care
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Garden-Terrace-Alzheimer's-Center-of-Excellence-(houston)","","","","","","","","","","","","",""
"in-99241ffaea73e35c","indeed","https://www.indeed.com/viewjob?jk=99241ffaea73e35c","https://lifecarecareers.hcshiring.com/jobs/3uV_9qJ23k-35uZKEslunw?ref=Indeed&title=Unit%20Manager%20%28Licensed%20Practical%20Nurse%2FLPN%29%20%20-%20Weekend","Unit Manager (Licensed Practical Nurse/LPN) - Weekend","Life Care Center Of Attleboro","Attleboro, MA, US","2025-12-28","parttime","direct_data","hourly",34.0,47.0,"USD",False,"","","","","**Live the Mission:**  

**Position Summary:**  

The LPN Unit Manager is responsible for supervising, implementing, coordinating, and managing patient care through interpersonal contact with patients, families, nursing staff, and others on his/her respective unit in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Attended an accredited LPN program
* Currently licensed/registered in applicable State. Must maintain an active Licensed Practical/Vocational Nurse (LPN/LVN) license in good standing throughout employment.
* One (1\\) year geriatric nursing experience preferred
* CPR certification upon hire or obtain during orientation. CPR certification must remain current during employment.


**Specific Job Requirements:**  

* Advanced knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care’s Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Effectively direct the daily functions of unit nurses and CNAs to provide leadership on the floor
* Chart appropriately, accurately, and in a timely manner
* Provide, manage, and coordinate patient care and services through interpersonal contact which allows patients to attain or maintain the highest practicable physical, mental, and psychosocial well being
* Accurately prepare and administer medication as ordered by a physician
* Respond in a leadership capacity to emergency situations related to patient and staff safety
* Coordinate patient care plans and services with RN
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Life-Care-Center-of-Attleboro","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3cb68f6aec9c82ddfac0be776229754a","https://lcca.com/locations/ma/attleboro/","","Decline to state","Decline to state","We believe that as a privately owned company, Life Care Centers of America stands apart from others","","","","","","",""
"in-cd6cbf5d33d6ee59","indeed","https://www.indeed.com/viewjob?jk=cd6cbf5d33d6ee59","https://lifecarecareers.hcshiring.com/jobs/gUnZQTMcA0WhiMO_fZTVDA?ref=Indeed&title=Care%20Manager%20Assistant%20-%20LPN","Care Manager Assistant - LPN","Garden Terrace Alzheimer's Center of Excellence (Houston)","Houston, TX, US","2025-12-28","fulltime","","","","","",False,"","","","","**Position Summary:**  

The Care Manager Assistant \\- LPN assists with the coordination of the patient's care and services. Promotes quality care using a collaborative process that coordinates, monitors, and evaluates services according to the needs of and interpersonal contact with patients. in accordance with all applicable laws, regulations, and Life Care standards.
  
  

**Education, Experience, and Licensure Requirements:**  

* Nursing diploma (associate's or bachelor's degree in nursing)
* Currently licensed/registered in applicable State. Must maintain an active nurse (LPN) license in good standing throughout employment.
* One (1\\) year of clinical experience in post\\-acute care setting preferred
* Prior case management, utilization review, and discharge planning experience preferred


**Specific Job Requirements:**  

* Generate written communication that is clear, concise, and well\\-organized
* Excellent organizational skills and be efficient in prioritizing and managing time and assignments
* Contribute to the organization's goals and objectives and support the organizational strategic plans
* Expert knowledge in field of practice
* Make independent decisions when circumstances warrant such action
* Knowledgeable of practices and procedures as well as the laws, regulations, and guidelines governing functions in the post\\-acute care facility
* Implement and interpret the programs, goals, objectives, policies, and procedures of the department
* Perform proficiently in all competency areas including but not limited to: general manager duties, patient rights, and safety and sanitation
* Maintains professional working relationships with all associates, vendors, etc.
* Maintains confidentiality of all proprietary and/or confidential information
* Understand and follow company policies including harassment and compliance procedures
* Displays integrity and professionalism by adhering to Life Care's Code of Conduct and completes mandatory Code of Conduct and other appropriate compliance training


**Essential Functions:**  

* Demonstrate efficient use of relevant computer systems including but not limited to the ability to enter and retrieve data
* Serve as liaison to external case managers, family, physicians, and community resources
* Train and education patients, families, associates, and other providers of care
* Implement the standards of practice for care management, ethical performance, and functions relevant to coordination of care
* Exhibit excellent customer service and a positive attitude towards patients
* Assist in the evacuation of patients
* Demonstrate dependable, regular attendance
* Concentrate and use reasoning skills and good judgment
* Communicate and function productively on an interdisciplinary team
* Sit, stand, bend, lift, push, pull, stoop, walk, reach, and move intermittently during working hours
* Read, write, speak, and understand the English language


An Equal Opportunity Employer","","https://www.indeed.com/cmp/Garden-Terrace-Alzheimer's-Center-of-Excellence-(houston)","","","","","","","","","","","","",""
"in-caea6706bdd1a910","indeed","https://www.indeed.com/viewjob?jk=caea6706bdd1a910","https://btboces.recruitfront.com/JobPosting?PTID=5&JID=59462","Substitute School Nurse (Continuous Recruitment)","Broome Tioga BOCES","Binghamton, NY, US","2025-12-28","","direct_data","hourly",22.0,36.0,"USD",False,"","","","","**Major Responsibilities**:


Works directly with school\\-age population (through 21 years of age) on health issues at one of the various Broome\\-Tioga BOCES sites. Dispense medication, performs assessment/data collection of minor injuries or illnesses, administers tube feedings, delivers first aide, and completes required documentation.

 **Job Qualifications** **Required Minimum Qualfications:**


* Registered Nurse preferred
* LPN will be considered
* Preferably 1\\-2 years of school nurse experience

  

**Civil Service Title:** Substitute School Nurse  

**Job Number:** 25\\-110","","https://www.indeed.com/cmp/Broome-Tioga-Boces","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/70ab9c30cdf45af1027ba97c851a34b2","","","","","","","","","","","",""
"in-a14097fcf72f36fb","indeed","https://www.indeed.com/viewjob?jk=a14097fcf72f36fb","https://app.workwolf.com/pipelineLink/W3XY0PTP?utm_source=indeed","Travel RN-ICU-Intensive Care Unit in Martinsburg, West Virginia","Voyage Health","Martinsburg, WV, US","2025-12-28","fulltime, contract","direct_data","weekly",2224.0,2341.0,"USD",False,"","","","","Looking to level up your career and boost your income? At Voyage Healthcare, we help connect nurses, therapists, and allied health pros with high\\-paying travel jobs at top\\-rated facilities across the U.S. With thousands of openings nationwide, you can earn up to $3,500\\+ per week (depending on your specialty, location, housing, and benefits)—all while making a real impact on the communities that need you most. Let your next adventure start with us!

**Position:** RN\\-ICU\\-Intensive Care Unit (Travel/Contract)


We're hiring experienced RN\\-ICU\\-Intensive Care Unit for a 13\\-week contract in Martinsburg, West Virginia — earn up to ($2224 \\- $2341 per week) while providing essential care at a leading facility. Most candidates will need to have at least 2 years of recent experience in the specialty.

**Apply \\& Call us today at 800\\-798\\-6035** for details on this opportunity.

**Position Details**

**Specialty:** RN\\-ICU\\-Intensive Care Unit

**Location:** Martinsburg, West Virginia

**Employment Type:** Travel/Contract

**Pay:** $2224 \\- $2341 per week

**Shift:** 3x12 Nights

**Start Date:** ASAP

**Contract Length:** 13\\-week


\\#Workwolf","","https://www.indeed.com/cmp/Voyage-Health","","","","","","","","","","","","",""
