"id","site","job_board_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","job_url"
"in-b4ad396c379c0831","indeed","https://www.indeed.com/viewjob?jk=b4ad396c379c0831","https://carecrafterhealth.com/careers/job-details/STF8715291-16","Licensed Practical Nurse (LPN)-16","","Gettysburg, PA, US","2025-08-13","contract","direct_data","yearly",59736.0,68375.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Licensed Practical Nurse (LPN)


Job Summary:


The Licensed Practical Nurse (LPN) will provide direct patient care under the supervision of a registered nurse or physician. They will work closely with patients to ensure their comfort and well\\-being while observing and documenting patient progress.


Responsibilities and Duties:


1\\. Administer medications and treatments as prescribed by healthcare providers.


2\\. Monitor patient vital signs and report any changes or abnormalities to the supervising nurse or physician.


3\\. Assist in performing diagnostic tests and procedures.


4\\. Educate patients and their families on proper healthcare procedures and medication use.


5\\. Maintain accurate and up\\-to\\-date patient records.


6\\. Collaborate with other healthcare professionals to provide comprehensive patient care.


7\\. Adhere to all legal and ethical standards of nursing practice.


Qualifications and Skills:


1\\. Current LPN license in the state of practice.


2\\. CPR certification.


3\\. Strong communication and interpersonal skills.


4\\. Ability to work effectively in a fast\\-paced healthcare environment.


5\\. Attention to detail and the ability to follow directions accurately.


6\\. Knowledge of basic nursing principles and practices.


\\#LPN \\#nursing \\#healthcare \\#medicaljobs \\#licensedpracticalnurse \\#patientcare \\#healthcarejobs \\#USjobs \\#nursingcareers \\#LPNjobs \\#directpatientcare \\#nursingassistant \\#healthcareprovider \\#nurseeducation \\#LPNlicense


Required Skills


LPN","","","","","","","","","","","","","","",""
"in-8f7cb8dda0a298d5","indeed","https://www.indeed.com/viewjob?jk=8f7cb8dda0a298d5","https://carecrafterhealth.com/careers/job-details/TRC58106-10","Registered Nurse (RN) Infusion Therapy-10","","Claremont, NH, US","2025-08-13","contract","direct_data","yearly",109727.0,125284.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Registered Nurse (RN) Infusion Therapy


Job Summary:


We are seeking a highly skilled and compassionate Registered Nurse (RN) to join our team as an Infusion Therapy specialist. The ideal candidate will be responsible for administering intravenous infusions to patients in a variety of settings, including hospitals, clinics, and home care. This role requires strong clinical skills, attention to detail, and excellent communication with patients and healthcare providers.


Responsibilities and Duties:

* Administer intravenous medications and therapies as prescribed by physicians
* Monitor patients for adverse reactions and provide appropriate care
* Educate patients on their treatment plan and medications
* Maintain accurate and detailed patient records
* Collaborate with healthcare team members to coordinate patient care
* Stay current on best practices and new advancements in infusion therapy


Qualifications and Skills:

* Current Registered Nurse (RN) license
* Bachelor's degree in Nursing preferred
* Certification in Infusion Therapy a plus
* Minimum of 2 years of nursing experience, preferably in infusion therapy
* Strong clinical skills and attention to detail
* Excellent communication and interpersonal skills
* Ability to work independently and as part of a team


\\#RNInfusionTherapy \\#RegisteredNurse \\#InfusionTherapySpecialist \\#NursingJobs \\#HealthcareJobs \\#USjobs \\#NurseLife \\#PatientCare \\#IntravenousTherapy \\#ClinicalSkills \\#HealthcareProvider \\#HomeCare \\#NursingCareer \\#MedicalField \\#JobOpportunity


Required Skills


REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-afd1db648000a96b","indeed","https://www.indeed.com/viewjob?jk=afd1db648000a96b","https://carecrafterhealth.com/careers/job-details/MFC285852-11","Labor and Delivery Nurse, TCU Transitional Care Unit-11","","Glendive, MT, US","2025-08-13","contract","direct_data","yearly",124889.0,135968.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Labor and Delivery Nurse, TCU Transitional Care Unit


Job Summary:


As a Labor and Delivery Nurse in the Transitional Care Unit (TCU), you will be responsible for providing specialized care to women during childbirth and the postpartum period. You will work closely with physicians and other healthcare professionals to ensure the safety and well\\-being of both the mother and baby.


Responsibilities and Duties:


1\\. Monitor and assess the progress of labor


2\\. Assist with the delivery of the baby


3\\. Provide postpartum care to both the mother and baby


4\\. Administer medications as needed


5\\. Educate and support new mothers on breastfeeding and infant care


6\\. Collaborate with other members of the healthcare team to create a comprehensive care plan


7\\. Document patient information and progress accurately


8\\. Keep abreast of latest developments and best practices in labor and delivery nursing


Qualifications and Skills:


1\\. Valid RN license in the state of practice


2\\. Bachelor's degree in Nursing preferred


3\\. Certification in Inpatient Obstetric Nursing (RNC\\-OB) preferred


4\\. Previous experience in labor and delivery nursing


5\\. Strong communication and interpersonal skills


6\\. Ability to work in a fast\\-paced environment


7\\. Attention to detail and critical thinking skills


8\\. Ability to work independently and as part of a team


\\#LaborAndDeliveryNurse \\#TransitionalCareUnit \\#TCUNurse \\#RNJobs \\#OBnurse \\#MaternityCare \\#PostpartumCare \\#HealthcareJobs \\#NursingJobs \\#LaborAndDelivery \\#USJobs \\#HealthcareCareer \\#NursingSkills \\#PatientCare \\#TCUjobs


Required Skills


LABOR AND DELIVERY NURSE

 REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-f1d9c63f7b853c2e","indeed","https://www.indeed.com/viewjob?jk=f1d9c63f7b853c2e","https://carecrafterhealth.com/careers/job-details/MFC279623-24","Travel Registered Nurse (RN) ICU/PCU-24","","Scottsbluff, NE, US","2025-08-13","contract","direct_data","yearly",122596.0,134643.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Travel Registered Nurse (RN) \\- ICU/PCU


Job Summary:


We are seeking a highly skilled and experienced Travel Registered Nurse (RN) to join our team specializing in Intensive Care Unit (ICU) and Progressive Care Unit (PCU) nursing. As a Travel RN, you will be responsible for providing high\\-quality patient care, monitoring vital signs, administering medications, and collaborating with healthcare professionals to create individualized treatment plans.


Responsibilities and Duties:

* Assessing patients' conditions and implementing appropriate nursing interventions
* Monitoring and documenting patients' progress and response to treatment
* Collaborating with interdisciplinary healthcare team members to develop and implement comprehensive care plans
* Administering medications, IV therapy, and other treatments as prescribed
* Educating patients and their families on disease prevention and management
* Ensuring the safety and comfort of patients at all times
* Adhering to facility policies and procedures, as well as standards of nursing practice


Qualifications and Skills:

* Current RN license in the state of practice
* BLS and ACLS certifications
* Minimum of 2 years of recent experience in ICU or PCU nursing
* Strong assessment and critical thinking skills
* Excellent communication and interpersonal abilities
* Ability to work independently and as part of a team
* Flexibility to travel and work in various healthcare settings


\\#TravelRN \\#RegisteredNurse \\#ICUNurse \\#PCUNurse \\#NursingJobs \\#CriticalCare \\#HealthcareJobs \\#RNJobs \\#TravelNursing \\#NurseLife \\#USJobs \\#IntensiveCare \\#ProgressiveCare \\#NursingCareer \\#MedicalTravel \\#NurseStaffing \\#HealthcareStaffing


Required Skills


PCU

 REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-901ce3c016b160a3","indeed","https://www.indeed.com/viewjob?jk=901ce3c016b160a3","https://carecrafterhealth.com/careers/job-details/MFC287308-8","Hospice RN (Registered Nurse)-8","","Missoula, MT, US","2025-08-13","contract","direct_data","yearly",102778.0,122422.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Hospice RN (Registered Nurse)


Job Summary:


As a Hospice RN, you will provide compassionate and holistic care to patients who are facing end\\-of\\-life issues. You will be responsible for managing patient care plans, administering medications, as well as providing emotional support to patients and their families during this challenging time.


Responsibilities and Duties:


1\\. Develop and implement individualized care plans for patients in hospice care.


2\\. Monitor patient symptoms and administer medications as prescribed.


3\\. Provide emotional support and comfort to patients and their families.


4\\. Coordinate care with other healthcare professionals, including physicians and social workers.


5\\. Educate patients and families about end\\-of\\-life care and provide resources for grief support.


6\\. Maintain accurate and up\\-to\\-date patient records.


7\\. Participate in interdisciplinary team meetings to discuss patient care plans.


Qualifications and Skills:


1\\. Active RN license in the state of practice.


2\\. A minimum of 1 year of experience in hospice care.


3\\. Strong communication and interpersonal skills.


4\\. Compassionate and empathetic towards patients and their families.


5\\. Ability to work independently and as part of a team.


6\\. Knowledge of end\\-of\\-life care and pain management techniques.


\\#HospiceRN \\#RegisteredNurse \\#EndOfLifeCare \\#PalliativeCare \\#USJobs \\#HealthcareJobs \\#NursingJobs \\#CompassionateCare \\#PatientCare \\#HospiceCare \\#RNLife \\#Empathy \\#InterdisciplinaryCareTeam \\#GriefSupport \\#Pharmacology \\#HospiceSupport \\#NurseLife


Required Skills


HOME HEALTH

 REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-4c65d56af1921d56","indeed","https://www.indeed.com/viewjob?jk=4c65d56af1921d56","https://carecrafterhealth.com/careers/job-details/TRC52549-9","Registered Nurse (RN) -9","","Mount Pleasant, MI, US","2025-08-13","contract","direct_data","yearly",93847.0,106768.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Registered Nurse (RN) \\- Emergency Room (ER)


Job Summary:


The Registered Nurse (RN) in the Emergency Room (ER) is responsible for providing immediate medical care to patients in emergency situations. They must be able to assess and prioritize patients based on their condition and provide appropriate treatment in a fast\\-paced environment.


Responsibilities and Duties:


1\\. Triage patients based on their condition and severity of illness or injury


2\\. Administer medication and treatment as prescribed by the physician


3\\. Perform emergency procedures such as CPR, intubation, and IV insertion


4\\. Monitor patient vital signs and report any changes to the medical team


5\\. Collaborate with other healthcare professionals to ensure comprehensive patient care


6\\. Educate patients and their families on post\\-discharge care and follow\\-up instructions


7\\. Maintain accurate medical records and documentation of patient care


8\\. Adhere to hospital policies and procedures to ensure patient safety and confidentiality


Qualifications and Skills:


1\\. Valid RN license in the state of practice


2\\. BLS and ACLS certification


3\\. Minimum of 2 years of experience in an emergency room setting


4\\. Strong communication and critical thinking skills


5\\. Ability to work well under pressure and in a fast\\-paced environment


6\\. Knowledge of emergency procedures and protocols


7\\. Ability to prioritize patient care based on acuity and urgency


8\\. Strong attention to detail and accuracy in documentation


\\#RNJobs \\#EmergencyRoomNurse \\#ERnurse \\#RegisteredNurse \\#HealthcareJobs \\#NursingJobs \\#RNLife \\#CriticalCareNurse \\#EmergencyMedicine \\#USAJobs \\#PatientCare \\#EmergencyRoomRN \\#NursingCareer \\#MedicalEmergency \\#RNSkills \\#EmergencyCare \\#NurseLife


Required Skills


EMERGENCY ROOM NURSE","","","","","","","","","","","","","","",""
"in-00ac6acb605397d5","indeed","https://www.indeed.com/viewjob?jk=00ac6acb605397d5","https://carecrafterhealth.com/careers/job-details/TRC54154-20","Registered Nurse (RN) First Assist-20","","Pittsfield, MA, US","2025-08-13","contract","direct_data","yearly",136441.0,149187.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job title: Registered Nurse (RN) \\- First Assist


Job Summary:


We are seeking a skilled and experienced Registered Nurse (RN) who is certified to function as a First Assist in surgical procedures. The ideal candidate will possess a strong knowledge of surgical practices and procedures, as well as excellent communication and teamwork skills.


Responsibilities and Duties:


1\\. Assist in surgical procedures by providing direct patient care under the supervision of the surgeon.


2\\. Assess and monitor patient's vital signs during surgery.


3\\. Assist in positioning and prepping patients for surgery.


4\\. Handle surgical instruments and supplies as needed.


5\\. Provide post\\-operative care to patients in the recovery room.


6\\. Collaborate with surgeons, anesthesiologists, and other healthcare team members to ensure safe and efficient patient care.


7\\. Maintain accurate and detailed patient records.


Qualifications and Skills:


1\\. Current RN license in the state of practice.


2\\. Certification as a First Assist (RNFA) required.


3\\. Minimum of 2 years of experience working as a Registered Nurse in a surgical setting.


4\\. Excellent communication and interpersonal skills.


5\\. Ability to work well under pressure and in a fast\\-paced environment.


6\\. Strong critical thinking and problem\\-solving skills.


\\#RegisteredNurse \\#RNFirstAssist \\#SurgicalNurse \\#HealthcareJobs \\#MedicalJobs \\#NursingCareers \\#SurgeonAssistant \\#RNFA \\#OperatingRoomNurse \\#SurgicalAssisting \\#HealthcareProfessionals \\#USJobs \\#RNJobs \\#NurseLife \\#SurgicalProcedures \\#HealthcareTeam


Required Skills


REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-bcb41f77ad87ae05","indeed","https://www.indeed.com/viewjob?jk=bcb41f77ad87ae05","https://carecrafterhealth.com/careers/job-details/TRC47253-2","Registered Nurse (RN) Med Surg-2","","Des Moines, IA, US","2025-08-13","contract","direct_data","yearly",111378.0,123719.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job title: Registered Nurse (RN) \\- Med Surg


Job Summary:


As a Registered Nurse (RN) in the Med Surg unit, you will be responsible for providing direct and individualized nursing care to patients based on the application of scientific nursing principles. You will collaborate with a multidisciplinary team to ensure patient safety, comfort, and well\\-being throughout their hospital stay.


Responsibilities and Duties:


1\\. Assessing, planning, implementing, and evaluating patient care in the Med Surg unit


2\\. Administering medications and treatments as prescribed by physicians


3\\. Monitoring and documenting patient progress and responses to treatment


4\\. Communicating with patients and their families to provide education and emotional support


5\\. Collaborating with physicians and other healthcare professionals to develop and modify patient care plans


6\\. Responding to emergencies and providing appropriate care


7\\. Maintaining accurate and up\\-to\\-date patient records


8\\. Adhering to all hospital policies and procedures


9\\. Participating in ongoing education and training to maintain licensure and skills


10\\. Ensuring patient safety and confidentiality at all times


Qualifications and Skills:


1\\. Valid RN license in the state of practice


2\\. Bachelor's degree in Nursing (BSN) preferred


3\\. Minimum of 2 years of experience in a Med Surg setting


4\\. CPR certification


5\\. Excellent communication and interpersonal skills


6\\. Strong critical thinking and problem\\-solving abilities


7\\. Ability to work effectively in a fast\\-paced environment


8\\. Flexibility and adaptability to changing patient needs


\\#RegisteredNurse \\#RNMedSurg \\#MedSurgNurse \\#HealthcareJobs \\#NursingCareers \\#USJobs \\#MedicalSurgicalNurse \\#HospitalJobs \\#PatientCare \\#HealthcareProfessionals \\#HealthcareIndustry \\#NursingSkills \\#NursingEducation \\#CriticalThinkingSkills \\#PatientSafety


Required Skills


MED/SURG

 REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-4e809a6b114e94d9","indeed","https://www.indeed.com/viewjob?jk=4e809a6b114e94d9","https://carecrafterhealth.com/careers/job-details/TRP54760-22","Registered Nurse (RN) Med Surg/Telemetry-22","","Pontiac, MI, US","2025-08-13","contract","direct_data","yearly",100247.0,111618.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Registered Nurse (RN) Med Surg/Telemetry


Job Summary:


We are seeking a dedicated and compassionate Registered Nurse (RN) with experience in Med Surg/Telemetry to join our healthcare team. The ideal candidate will be responsible for providing high\\-quality patient care, collaborating with physicians and healthcare team members, and ensuring the safety and well\\-being of all patients.


Responsibilities and Duties:

* Administer medications and treatments as prescribed by physicians
* Monitor patient vital signs and symptoms, and report any changes or concerns to physicians
* Assess and evaluate patient conditions, develop care plans, and provide education to patients and their families
* Collaborate with interdisciplinary team members to provide comprehensive care to patients
* Maintain accurate and detailed medical records
* Adhere to all hospital policies and procedures, as well as state and federal healthcare regulations


Qualifications and Skills:

* Valid RN license in the state of practice
* Minimum of 1 year of experience in Med Surg/Telemetry nursing
* BLS certification
* Strong communication and interpersonal skills
* Ability to work in a fast\\-paced and high\\-stress environment
* Excellent critical thinking and problem\\-solving abilities
* Knowledge of current healthcare practices and procedures


\\#RegisteredNurse \\#RNMedSurg \\#RNTelemetry \\#HealthcareJobs \\#NursingCareers \\#USJobs \\#NurseLife \\#PatientCare \\#NursingSkills \\#HealthcareProfessional \\#HealthcareTeam \\#MedSurgNurse \\#TelemetryNurse \\#RNJobs \\#NursingJobOpportunities \\#CarePlanDevelopment


Required Skills


TELEMETRY NURSE

 REGISTERED NURSE","","","","","","","","","","","","","","",""
"in-aaa15eb09166db7d","indeed","https://www.indeed.com/viewjob?jk=aaa15eb09166db7d","https://carecrafterhealth.com/careers/job-details/STF8625407R-22","Registered Nurse (RN)-22","","Belen, NM, US","2025-08-13","contract","direct_data","yearly",82457.0,101885.0,"USD",False,"","","","","Job Type: Contract


Job Category: Nursing


Job Description


Job Title: Registered Nurse (RN)


Job Summary:


We are seeking a compassionate and dedicated Registered Nurse (RN) to join our healthcare team. The ideal candidate will provide high quality patient care in various medical settings, collaborate with healthcare professionals, and ensure the well\\-being of patients.


Responsibilities and Duties:


1\\. Assess patient health problems and needs.


2\\. Develop and implement nursing care plans.


3\\. Administer medications and treatments.


4\\. Monitor and record patient symptoms and vital signs.


5\\. Educate patients and their families on healthcare procedures and self\\-care techniques.


6\\. Collaborate with healthcare providers to ensure optimal patient care.


7\\. Maintain accurate medical records.


8\\. Adhere to healthcare regulations and guidelines.


9\\. Participate in ongoing professional development.


Qualifications and Skills:


1\\. Valid RN license in the state of practice.


2\\. Bachelor's degree in nursing preferred.


3\\. Strong communication and interpersonal skills.


4\\. Ability to work under pressure in fast\\-paced environments.


5\\. Attention to detail and critical thinking skills.


6\\. Flexibility and adaptability.


7\\. Compassion and empathy towards patients.


\\#RegisteredNurse \\#RNjob \\#HealthcareCareer \\#NurseLife \\#PatientCare \\#MedicalProfessional \\#NursingJob \\#HealthcareIndustry \\#USJobs \\#NurseCommunity \\#MedicalField \\#HealthcareJobs \\#CriticalCareNurse \\#NursingSchool \\#NursePractitioner


Required Skills


REGISTERED NURSE","","","","","","","","","","","","","","",""
